Interation,mean obj,max obj,constraint,max cons,lag,loss,lambda
0,655.6868896484375,662.59521484375,355.0674133300781,359.51409912109375,-22648.970703125,0.816912829875946,1.9778170585632324
1,677.0842895507812,683.5987548828125,375.56341552734375,379.77606201171875,11774.474609375,1.110854148864746,3.7462217807769775
2,659.7584838867188,666.4424438476562,353.68096923828125,358.05853271484375,41646.203125,1.4504024982452393,5.40165901184082
3,640.2412719726562,648.6834106445312,331.08734130859375,336.46978759765625,65677.140625,1.797511100769043,6.943919658660889
4,620.4706420898438,629.3623046875,308.4522705078125,314.1080322265625,84216.71875,2.121100425720215,8.375112533569336
5,601.0130615234375,610.3561401367188,286.2384948730469,292.16534423828125,97838.7734375,2.3954246044158936,9.697317123413086
6,581.97216796875,592.275146484375,264.4410400390625,270.86981201171875,107024.5078125,2.600167751312256,10.912490844726562
7,563.4527587890625,574.2288818359375,243.03469848632812,249.71636962890625,112218.25,2.723583698272705,12.02176284790039
8,545.052001953125,556.2753295898438,221.85423278808594,228.77874755859375,113765.734375,2.7614762783050537,13.025985717773438
9,526.7103271484375,538.3758544921875,200.84474182128906,208.0111083984375,112016.359375,2.7186787128448486,13.925837516784668
10,508.3769836425781,520.486328125,179.97021484375,187.37994384765625,107310.015625,2.606804609298706,14.72187328338623
11,490.0093688964844,502.56317138671875,159.2073974609375,166.86065673828125,99980.796875,2.441678524017334,15.4146089553833
12,471.57086181640625,484.567138671875,138.54693603515625,146.4417724609375,90363.078125,2.240755796432495,16.004575729370117
13,453.0332336425781,466.46624755859375,117.99335479736328,126.12506103515625,78795.4296875,2.0208752155303955,16.492399215698242
14,434.37786865234375,448.2374572753906,97.56490325927734,105.92587280273438,65622.7890625,1.7966392040252686,16.878862380981445
15,415.5975036621094,429.86810302734375,77.29261779785156,85.8717041015625,51196.5546875,1.5795059204101562,17.164958953857422
16,396.6965637207031,411.3569030761719,57.21901321411133,66.00146484375,35872.83203125,1.3775315284729004,17.351938247680664
17,377.6922607421875,392.71435546875,37.3961067199707,46.363128662109375,20008.734375,1.195601463317871,17.44135284423828
18,358.6133117675781,373.96246337890625,17.883073806762695,27.0120849609375,3957.394287109375,1.0359654426574707,17.43507194519043
19,339.50030517578125,355.13494873046875,-1.2561657428741455,8.00811767578125,-11937.98046875,0.8988949656486511,17.335296630859375
20,320.40374755859375,336.2753601074219,-19.95550537109375,-10.5863037109375,-27350.4609375,0.783330500125885,17.144550323486328
21,301.38336181640625,317.43695068359375,-38.14910888671875,-28.70880126953125,-41975.7109375,0.6874383687973022,16.86568260192871
22,282.5060729980469,298.7583923339844,-55.773494720458984,-46.299041748046875,-55537.56640625,0.6090401411056519,16.501930236816406
