,Network,Network2,Network3,Basic Linear,Basic Exp,Basic Log,Basic Qua,G&R,True Answer
0,318,330,342,544,900,909,707,868.0,21.0
1,317,344,346,538,584,916,746,862.0,
2,302,322,343,586,724,401,727,869.0,
3,331,335,332,562,1004,416,667,881.0,
4,302,321,329,547,1002,898,717,871.0,
5,302,328,346,570,847,989,714,821.0,
6,327,308,351,553,981,928,692,819.0,
7,319,327,334,594,863,950,674,863.0,
8,326,308,329,555,1002,894,703,818.0,
9,325,333,354,551,789,918,690,851.0,
10,327,323,325,607,975,929,709,832.0,
11,304,320,323,568,613,406,724,860.0,
12,311,326,324,548,931,899,712,846.0,
13,312,322,351,573,923,861,678,860.0,
14,338,329,355,548,832,735,724,816.0,
15,335,337,317,577,657,925,705,818.0,
16,337,298,354,575,491,412,682,839.0,
17,339,309,359,567,918,920,705,857.0,
18,321,328,336,583,840,810,711,874.0,
19,317,298,352,551,961,946,684,840.0,
20,326,315,363,576,945,917,703,871.0,
21,332,324,355,567,793,912,693,846.0,
22,334,310,357,551,992,316,709,872.0,
23,304,307,339,557,1032,950,693,841.0,
24,301,326,334,543,1011,691,718,832.0,
25,333,339,357,544,705,958,679,855.0,
26,317,345,341,520,875,953,677,851.0,
27,307,316,355,549,750,954,690,851.0,
28,333,315,355,555,906,974,669,856.0,
29,333,313,354,572,947,831,660,827.0,
30,314,302,363,557,974,913,705,879.0,
31,308,310,341,576,980,860,712,818.0,
32,291,319,359,558,426,791,722,831.0,
33,348,321,344,600,973,407,689,853.0,
34,367,308,310,547,652,644,729,835.0,
35,334,325,329,572,901,877,704,847.0,
36,331,314,351,562,772,964,712,839.0,
37,326,286,340,593,992,870,697,873.0,
38,316,316,373,555,989,823,702,904.0,
39,326,312,373,552,815,929,693,858.0,
40,311,299,337,562,1007,976,714,873.0,
41,311,321,352,575,773,841,721,813.0,
42,324,289,346,585,974,874,690,839.0,
43,290,348,341,552,874,752,704,845.0,
44,332,278,337,585,921,912,697,878.0,
45,315,287,329,572,873,738,730,847.0,
46,322,311,373,563,1013,398,703,815.0,
47,306,304,331,543,727,946,708,871.0,
48,286,319,343,568,982,924,706,843.0,
49,289,324,328,545,955,910,715,866.0,
50,309,309,365,574,786,430,718,824.0,
51,304,313,370,553,916,888,680,843.0,
52,307,332,338,587,804,931,711,826.0,
53,326,335,342,555,692,919,674,836.0,
54,296,352,348,579,897,907,711,843.0,
55,317,349,341,574,504,584,688,839.0,
56,309,322,338,578,973,911,678,818.0,
57,311,331,329,576,991,895,674,877.0,
58,299,325,393,603,808,867,689,856.0,
59,328,334,346,531,902,790,733,857.0,
60,304,313,338,558,574,937,705,859.0,
61,300,339,358,566,992,739,660,819.0,
62,341,318,329,531,1000,423,681,828.0,
63,305,322,294,592,589,369,689,821.0,
64,312,321,327,544,864,921,708,857.0,
65,323,320,345,593,818,906,697,846.0,
66,324,331,355,595,777,711,689,838.0,
67,323,332,337,581,486,883,731,839.0,
68,301,318,349,555,815,953,730,848.0,
69,309,311,393,589,895,959,722,906.0,
70,324,317,341,590,894,997,696,864.0,
71,302,317,357,560,817,388,710,873.0,
72,298,321,362,547,968,942,720,876.0,
73,319,326,323,552,956,659,683,829.0,
74,314,309,358,580,844,964,673,870.0,
75,319,314,326,585,736,916,676,833.0,
76,307,323,347,572,898,404,702,864.0,
77,305,312,365,523,590,937,690,850.0,
78,316,315,338,563,885,838,726,821.0,
79,302,333,333,593,752,928,684,862.0,
80,317,325,343,565,859,895,704,842.0,
81,320,322,349,563,955,950,729,825.0,
82,322,315,325,556,852,875,709,827.0,
83,304,333,361,575,567,901,712,873.0,
84,308,353,353,532,829,743,699,837.0,
85,285,333,327,553,1052,789,696,840.0,
86,335,318,348,595,1035,340,707,881.0,
87,324,339,348,554,997,920,692,870.0,
88,323,319,345,580,911,810,678,853.0,
89,319,324,329,541,972,752,712,834.0,
90,300,310,320,561,1016,899,695,851.0,
91,340,286,359,577,915,958,724,882.0,
92,297,315,371,585,617,881,666,891.0,
93,322,301,360,599,988,856,688,862.0,
94,330,311,323,561,590,975,709,847.0,
95,299,303,339,578,599,763,708,834.0,
96,316,321,365,551,863,917,689,824.0,
97,313,304,373,556,657,780,658,876.0,
98,313,315,400,588,925,921,680,859.0,
99,313,347,332,547,725,709,711,833.0,
