Interation,mean obj,max obj,constraint,max cons,lag,loss,lambda
0,896.4280395507812,910.83837890625,-433.84381103515625,-423.715087890625,-37308.9765625,0.7166872024536133,9.999999747378752e-05
1,956.0657348632812,972.3348388671875,-363.9202575683594,-352.53802490234375,-37829.40234375,0.7133647203445435,9.999999747378752e-05
2,1018.5921020507812,1036.9022216796875,-289.2231750488281,-276.476318359375,-40659.0234375,0.6955676078796387,9.999999747378752e-05
3,1084.2701416015625,1104.791015625,-210.12901306152344,-195.90966796875,-43643.37890625,0.6772783398628235,9.999999747378752e-05
4,1153.4346923828125,1176.35595703125,-126.2358627319336,-110.1396484375,-46798.43359375,0.6584655046463013,9.999999747378752e-05
5,1226.439453125,1252.0389404296875,-37.123504638671875,-18.9560546875,-50141.203125,0.6391032338142395,0.2882746458053589
6,1303.650146484375,1332.43359375,57.63492965698242,78.033935546875,-52843.984375,0.623865008354187,1.0493086576461792
7,1384.2366943359375,1416.37060546875,152.20681762695312,174.985107421875,-49385.85546875,0.6434280276298523,1.3537330627441406
8,1324.73046875,1354.150634765625,60.8848762512207,81.927490234375,-50492.1875,0.6371035575866699,1.1898267269134521
9,1257.5030517578125,1283.994873046875,-32.781253814697266,-13.6868896484375,-53462.1328125,0.6204312443733215,0.6009044647216797
10,1197.078125,1220.97314453125,-117.78446960449219,-100.40771484375,-52273.77734375,0.6270493268966675,0.2795177400112152
11,1253.8648681640625,1279.9013671875,-65.7630386352539,-46.7235107421875,-52246.296875,0.6272031664848328,0.39035850763320923
12,1331.832763671875,1361.03515625,22.168153762817383,43.48681640625,-54459.05859375,0.6149332523345947,0.9443206787109375
13,1412.648681640625,1445.179443359375,110.79242706298828,134.5179443359375,-53363.45703125,0.6209781169891357,1.126989722251892
14,1366.3907470703125,1396.791015625,36.53382110595703,58.9146728515625,-54391.19140625,0.6153059601783752,0.8821540474891663
15,1304.400390625,1332.10205078125,-48.96713638305664,-28.39208984375,-55750.5,0.6078833341598511,0.4174094796180725
16,1277.6783447265625,1303.351318359375,-98.45992279052734,-79.148193359375,-54433.2890625,0.6150747537612915,0.372587114572525
17,1357.1640625,1386.046142578125,-13.946683883666992,7.720458984375,-56284.40625,0.6049924492835999,0.759389340877533
18,1441.876220703125,1474.3935546875,77.36045837402344,101.6673583984375,-56968.8671875,0.6013064384460449,1.1975184679031372
19,1469.8511962890625,1503.1175537109375,87.62583923339844,112.64453125,-55936.4609375,0.6068748831748962,1.1730684041976929
20,1397.16845703125,1427.26513671875,-4.890024185180664,17.935791015625,-58110.296875,0.5952094197273254,0.7183808088302612
21,1328.9849853515625,1356.1549072265625,-90.93751525878906,-70.1412353515625,-57950.30078125,0.5960603356361389,0.5188322067260742
22,1384.766357421875,1414.072265625,-45.81789779663086,-23.3360595703125,-58437.37109375,0.5934737920761108,0.7184181213378906
23,1470.4632568359375,1503.2593994140625,39.917179107666016,65.000732421875,-59741.71875,0.5866022706031799,1.178307056427002
24,1533.89794921875,1569.213623046875,91.97779083251953,119.0325927734375,-58665.0859375,0.5922683477401733,1.1745775938034058
25,1458.9794921875,1491.0250244140625,-0.7458813190460205,24.015380859375,-60662.3515625,0.5818002223968506,0.741805374622345
26,1387.89697265625,1416.8829345703125,-87.73965454101562,-65.1326904296875,-60601.7265625,0.5821152925491333,0.6035127639770508
27,1449.9906005859375,1481.4132080078125,-38.12145233154297,-13.60009765625,-61364.48046875,0.5781643390655518,0.8311022520065308
28,1538.8287353515625,1573.893310546875,45.51791000366211,72.797607421875,-62396.9375,0.5728591084480286,1.119689702987671
29,1570.55859375,1606.7958984375,57.71748352050781,86.0167236328125,-62505.56640625,0.5723037719726562,0.9741563200950623
30,1500.287109375,1533.4459228515625,-29.10666847229004,-2.994873046875,-63904.265625,0.5652009844779968,0.6455966234207153
31,1470.1275634765625,1501.8812255859375,-78.77745056152344,-53.58740234375,-63668.36328125,0.566392719745636,0.6768693327903748
32,1562.6480712890625,1598.2108154296875,4.528779029846191,32.6337890625,-65221.453125,0.5585928559303284,1.117149829864502
33,1656.938720703125,1696.41455078125,88.05609130859375,119.1702880859375,-64788.7421875,0.5607551336288452,1.117965579032898
34,1585.423095703125,1621.7369384765625,0.16313964128494263,28.9991455078125,-66382.2578125,0.5528333187103271,0.7466959953308105
35,1518.380859375,1551.74560546875,-81.7825698852539,-55.077880859375,-66370.578125,0.552890956401825,0.728850245475769
36,1605.843505859375,1642.79443359375,-9.84835147857666,19.642822265625,-67706.390625,0.5463358759880066,1.0813511610031128
37,1701.48779296875,1742.4052734375,70.50018310546875,103.072509765625,-67931.8046875,0.5452373623847961,1.0460084676742554
38,1641.3087158203125,1679.507568359375,-7.068512916564941,23.533447265625,-69319.4453125,0.53852379322052,0.770239531993866
39,1600.1866455078125,1636.4644775390625,-66.5931396484375,-37.3603515625,-69644.1484375,0.5369647741317749,0.8272538781166077
40,1696.35546875,1736.61181640625,10.529389381408691,42.864501953125,-71066.5703125,0.5301883816719055,1.1922532320022583
41,1781.2095947265625,1824.9417724609375,72.99987030029297,108.08203125,-71052.4453125,0.5302552580833435,1.0807774066925049
42,1697.7198486328125,1737.712158203125,-22.421058654785156,9.845703125,-72742.6171875,0.5223133563995361,0.774743914604187
43,1654.3018798828125,1692.22607421875,-83.02345275878906,-52.2841796875,-72798.984375,0.5220504999160767,0.8085181713104248
44,1763.6771240234375,1806.150390625,4.247268199920654,38.5389404296875,-74452.9296875,0.5143978595733643,1.2475061416625977
45,1871.243408203125,1918.171875,87.79757690429688,125.5980224609375,-74103.8125,0.5160037875175476,1.1708424091339111
46,1776.093505859375,1818.7373046875,-15.33272933959961,19.16845703125,-76055.7421875,0.5070887804031372,0.7923933267593384
47,1706.09130859375,1745.4892578125,-96.09080505371094,-64.086181640625,-75786.8515625,0.508307695388794,0.8072621822357178
48,1826.2156982421875,1870.609619140625,-1.6543774604797363,34.265625,-77595.015625,0.5001673102378845,1.2800685167312622
49,1949.1846923828125,1998.6767578125,94.5612564086914,134.509765625,-77147.7421875,0.5021687746047974,1.2179921865463257
50,1846.404052734375,1891.595458984375,-12.415236473083496,24.1204833984375,-79170.5625,0.493180513381958,0.8185832500457764
51,1766.91748046875,1808.478271484375,-98.55531311035156,-64.86865234375,-78825.7890625,0.4947010576725006,0.843932032585144
52,1896.65771484375,1943.6214599609375,1.2350000143051147,39.1798095703125,-80734.7578125,0.48634058237075806,1.348130464553833
53,2027.400390625,2079.76611328125,100.8397216796875,143.0869140625,-80023.90625,0.48943719267845154,1.282143473625183
54,1911.263671875,1958.4013671875,-13.197404861450195,24.89013671875,-82257.8515625,0.47977161407470703,0.8454111814498901
55,1815.9571533203125,1858.69873046875,-108.28671264648438,-73.694580078125,-81642.3046875,0.48241567611694336,0.8584742546081543
56,1955.552734375,2004.08154296875,-2.8351757526397705,36.342041015625,-83645.4609375,0.47386422753334045,1.3855500221252441
57,2098.666259765625,2153.0791015625,105.4151611328125,149.31005859375,-82831.03125,0.4773225784301758,1.3223240375518799
58,1972.8677978515625,2021.6248779296875,-12.645209312438965,26.6834716796875,-85105.5390625,0.46772682666778564,0.8658981323242188
59,1867.7357177734375,1911.643310546875,-112.01132202148438,-76.592041015625,-84317.15625,0.4710308313369751,0.8868096470832825
60,2017.6519775390625,2067.74072265625,-0.493415504693985,39.849609375,-86427.4453125,0.4622388184070587,1.452657699584961
61,2170.28564453125,2226.58935546875,113.16964721679688,158.531494140625,-85239.9296875,0.4671659469604492,1.3940986394882202
62,2030.349853515625,2080.4150390625,-11.711848258972168,28.548583984375,-87747.8828125,0.4568212032318115,0.8942773342132568
63,1907.046875,1951.4970703125,-120.79264068603516,-85.100830078125,-86689.53125,0.4611584544181824,0.9009602665901184
64,2065.142822265625,2116.060546875,-5.378093242645264,35.4859619140625,-88854.859375,0.4523283541202545,1.4744640588760376
65,2228.16796875,2285.67431640625,114.70075988769531,160.921142578125,-87694.203125,0.4570401906967163,1.4111024141311646
66,2080.64990234375,2131.604736328125,-12.672333717346191,28.134033203125,-90157.6875,0.44709721207618713,0.9127858281135559
67,1952.19091796875,2002.6099853515625,-122.81966400146484,-86.816650390625,-88990.8359375,0.4517795145511627,0.9287276864051819
68,2119.194580078125,2171.074951171875,-2.7371068000793457,38.7130126953125,-91250.234375,0.4427570104598999,1.53523588180542
69,2290.264404296875,2348.973388671875,121.3016586303711,168.3447265625,-89724.859375,0.4488283395767212,1.4766134023666382
70,2130.304443359375,2184.0888671875,-11.724526405334473,29.4669189453125,-92428.7421875,0.43812254071235657,0.9437736868858337
71,1985.909912109375,2042.427490234375,-129.89279174804688,-94.03955078125,-91075.1875,0.4434494972229004,0.9499070644378662
72,2159.49755859375,2216.3994140625,-7.298027038574219,34.1751708984375,-93342.9453125,0.4345609247684479,1.5529149770736694
73,2338.34912109375,2397.58642578125,120.60157775878906,167.893310546875,-91907.4140625,0.4401666522026062,1.4799365997314453
74,2171.499267578125,2231.52734375,-14.595659255981445,26.5908203125,-94551.90625,0.4298953413963318,0.9634537100791931
75,2024.1724853515625,2087.00732421875,-132.63450622558594,-96.921142578125,-93119.0703125,0.4354304373264313,0.9739301204681396
76,2205.28125,2268.55029296875,-6.547224044799805,34.99267578125,-95450.8359375,0.4264587461948395,1.5973931550979614
77,2391.33447265625,2454.847412109375,124.69261169433594,172.2445068359375,-93784.6328125,0.43285056948661804,1.5242626667022705
78,2214.66162109375,2281.046875,-14.626142501831055,26.4996337890625,-96592.7265625,0.4221329391002655,0.9866294860839844
79,2055.909423828125,2124.990234375,-137.90249633789062,-102.60986328125,-95009.53125,0.42814239859580994,0.9911710619926453
80,2243.44189453125,2313.0419921875,-9.215580940246582,32.0577392578125,-97369.3203125,0.4192160367965698,1.6187331676483154
81,2436.69140625,2506.53857421875,125.51242065429688,172.99169921875,-95701.6796875,0.4255047142505646,1.5370060205459595
82,2252.951416015625,2325.666259765625,-16.34541893005371,24.4803466796875,-98512.8828125,0.4149574339389801,0.998060405254364
83,2089.166259765625,2164.5732421875,-141.0590057373047,-106.2325439453125,-96794.640625,0.42137259244918823,1.004307508468628
84,2283.7890625,2359.75,-9.025280952453613,31.963623046875,-99246.7734375,0.41224730014801025,1.6510158777236938
85,2484.2568359375,2560.44677734375,129.34165954589844,176.72802734375,-97401.5546875,0.41909536719322205,1.572048306465149
86,2292.5126953125,2371.53369140625,-15.793498039245605,24.7001953125,-100332.7109375,0.4082694947719574,1.014298677444458
87,2119.318115234375,2200.91259765625,-144.69393920898438,-108.7598876953125,-98487.6953125,0.41505077481269836,1.0183475017547607
88,2320.005126953125,2402.2216796875,-10.0985107421875,30.42333984375,-100987.453125,0.4058897793292999,1.6749930381774902
89,2526.91162109375,2609.355712890625,131.32911682128906,178.40625,-99060.7421875,0.4129326343536377,1.5925414562225342
90,2328.29833984375,2413.54150390625,-16.49030876159668,23.500244140625,-102053.7421875,0.4020438492298126,1.0244537591934204
91,2148.600341796875,2236.34326171875,-147.9200439453125,-109.1065673828125,-100073.0859375,0.4092170000076294,1.027524709701538
92,2355.382568359375,2443.7958984375,-10.597790718078613,29.3759765625,-102650.8203125,0.3999062478542328,1.6976103782653809
93,2568.70654296875,2657.3232421875,134.01712036132812,180.704345703125,-100617.3359375,0.4072332978248596,1.615447998046875
94,2363.542236328125,2454.9248046875,-16.43250846862793,24.168701171875,-103683.25,0.3962368071079254,1.0352981090545654
95,2176.971435546875,2270.755126953125,-150.70343017578125,-109.073486328125,-101589.140625,0.4037150740623474,1.0383247137069702
96,2389.36865234375,2483.8779296875,-10.945358276367188,31.1463623046875,-104229.796875,0.3943079113960266,1.7204852104187012
97,2608.493896484375,2703.19482421875,136.4320831298828,182.6217041015625,-102082.7890625,0.40193960070610046,1.637600064277649
98,2397.040771484375,2494.46630859375,-16.577001571655273,26.8994140625,-105233.28125,0.39079079031944275,1.0510661602020264
99,2203.886474609375,2303.60498046875,-153.57919311523438,-109.19482421875,-103070.9140625,0.39840906858444214,1.0554141998291016
100,2421.21142578125,2521.73486328125,-11.877604484558105,33.0751953125,-105732.734375,0.38905203342437744,1.742836833000183
101,2645.154541015625,2745.8984375,137.4845428466797,183.0244140625,-103507.8125,0.39685797691345215,1.6532790660858154
102,2427.75927734375,2531.17529296875,-17.911577224731445,28.408935546875,-106735.765625,0.3855833411216736,1.0651205778121948
103,2229.22509765625,2334.84033203125,-156.98362731933594,-109.876708984375,-104491.8203125,0.39338651299476624,1.0665557384490967
104,2451.280029296875,2557.777587890625,-13.419750213623047,34.36767578125,-107176.8203125,0.38406792283058167,1.757631540298462
105,2680.243408203125,2786.963134765625,138.2151336669922,186.319091796875,-104931.4609375,0.39184534549713135,1.6614353656768799
106,2457.623779296875,2566.977783203125,-19.23921012878418,29.8927001953125,-108185.3359375,0.38062506914138794,1.0718705654144287
107,2254.939208984375,2366.423828125,-159.75802612304688,-109.9532470703125,-105835.4375,0.3886954188346863,1.0760266780853271
108,2481.95263671875,2594.368896484375,-14.027841567993164,36.56201171875,-108595.0703125,0.3792351484298706,1.7754039764404297
109,2715.796142578125,2828.42578125,139.87547302246094,190.855224609375,-106268.0234375,0.38719701766967773,1.6766291856765747
110,2487.89990234375,2603.1201171875,-19.754980087280273,32.150390625,-109589.28125,0.3758836090564728,1.0888034105300903
111,2280.00390625,2397.248291015625,-162.3765106201172,-109.9373779296875,-107228.7265625,0.38388997316360474,1.0913790464401245
112,2511.046875,2629.311279296875,-15.188861846923828,38.163818359375,-109974.8984375,0.3745916783809662,1.7930811643600464
113,2748.94189453125,2867.44189453125,140.34043884277344,194.175048828125,-107595.9140625,0.3826334476470947,1.6864463090896606
114,2516.030517578125,2637.06982421875,-21.32699966430664,33.320068359375,-110977.625,0.37125295400619507,1.1072750091552734
115,2303.91748046875,2426.890380859375,-165.50843811035156,-110.4661865234375,-108613.3671875,0.3791731894016266,1.1104201078414917
116,2538.637451171875,2662.732421875,-17.095439910888672,39.00244140625,-111332.328125,0.37007904052734375,1.8084272146224976
117,2779.9736328125,2904.359375,139.60142517089844,196.296142578125,-108949.984375,0.3780352771282196,1.6888805627822876
118,2542.39990234375,2669.26806640625,-23.90934181213379,33.4720458984375,-112363.484375,0.36668750643730164,1.1175724267959595
119,2327.380615234375,2456.11572265625,-168.93885803222656,-111.292724609375,-109934.25,0.37472763657569885,1.1182442903518677
120,2566.11669921875,2696.05029296875,-18.952089309692383,39.88525390625,-112677.28125,0.36566153168678284,1.8166946172714233
121,2811.696533203125,2941.9150390625,139.69003295898438,199.221435546875,-110314.375,0.37345799803733826,1.6892675161361694
122,2569.955810546875,2702.6181640625,-25.48539161682129,34.6099853515625,-113718.9765625,0.3622763752937317,1.1206411123275757
123,2352.44677734375,2486.923583984375,-171.2116241455078,-110.9805908203125,-111202.1875,0.3705093264579773,1.1212698221206665
124,2595.498779296875,2731.214111328125,-19.302165985107422,42.249755859375,-114017.03125,0.3613135516643524,1.8291966915130615
125,2845.53173828125,2981.4931640625,141.5853729248047,203.9141845703125,-111576.8515625,0.3692719638347626,1.7019778490066528
126,2599.467041015625,2737.833984375,-25.443777084350586,37.32373046875,-115037.640625,0.35803598165512085,1.1272571086883545
127,2377.2939453125,2517.35693359375,-173.1251983642578,-110.39111328125,-112459.671875,0.366372674703598,1.1314953565597534
128,2624.161865234375,2765.51416015625,-19.607641220092773,44.582275390625,-115318.7109375,0.35713860392570496,1.8456329107284546
129,2877.7119140625,3019.311279296875,142.8275146484375,207.9051513671875,-112780.875,0.3653234839439392,1.7154396772384644
