,Network,Network2,Network3,Basic Linear,Basic Exp,Basic Log,Basic Qua,G&R,True Answer
0,258,234,256,555,488,873,519,864.0,21.0
1,245,231,262,600,945,918,518,827.0,
2,256,214,267,515,678,935,515,837.0,
3,253,227,277,583,941,988,530,828.0,
4,241,216,250,565,714,925,531,841.0,
5,247,243,262,528,962,910,506,853.0,
6,220,242,254,583,938,781,542,874.0,
7,246,231,265,575,971,880,548,834.0,
8,221,229,253,566,599,953,531,832.0,
9,267,235,250,579,672,673,536,838.0,
10,261,254,273,591,685,535,532,823.0,
11,252,255,277,533,666,898,531,841.0,
12,245,251,257,525,725,953,532,856.0,
13,236,242,258,569,952,953,532,844.0,
14,229,238,249,569,729,902,562,814.0,
15,252,244,277,580,1004,740,506,862.0,
16,254,229,255,590,493,951,527,803.0,
17,219,249,234,583,921,926,529,860.0,
18,233,229,254,552,765,909,533,877.0,
19,257,245,238,569,917,917,507,865.0,
20,243,257,267,558,531,863,543,871.0,
21,268,234,233,603,966,527,531,855.0,
22,226,237,247,589,945,873,557,829.0,
23,237,263,234,571,823,941,526,844.0,
24,272,243,231,586,501,932,507,850.0,
25,246,223,248,578,933,955,508,840.0,
26,229,224,271,561,844,883,505,844.0,
27,230,239,266,584,659,974,521,821.0,
28,231,231,275,627,934,450,534,847.0,
29,251,226,263,572,507,682,514,891.0,
30,242,237,238,550,889,948,550,834.0,
31,246,222,265,558,756,786,496,862.0,
32,238,246,243,597,886,341,513,842.0,
33,238,235,274,568,1020,307,530,864.0,
34,265,210,249,573,969,946,520,844.0,
35,236,229,265,562,641,889,539,825.0,
36,253,225,252,546,1000,870,500,878.0,
37,257,230,238,569,721,884,533,849.0,
38,273,226,260,592,905,930,536,909.0,
39,258,245,283,565,903,871,540,821.0,
40,262,220,261,562,538,913,492,830.0,
41,235,256,269,537,924,592,525,883.0,
42,238,229,268,558,784,866,532,811.0,
43,257,239,289,567,965,891,538,827.0,
44,245,241,252,584,1011,859,513,851.0,
45,281,220,238,548,1051,947,511,827.0,
46,220,228,235,563,715,987,539,842.0,
47,225,246,240,552,965,950,522,858.0,
48,245,216,247,580,514,679,554,849.0,
49,256,232,241,605,725,919,529,851.0,
50,247,225,264,588,954,938,500,840.0,
51,239,221,216,608,826,884,548,853.0,
52,207,237,270,609,996,435,531,847.0,
53,243,221,261,577,977,904,510,840.0,
54,253,222,258,552,1000,366,536,876.0,
55,234,244,240,558,889,907,538,851.0,
56,252,244,240,576,925,354,511,865.0,
57,230,209,221,586,994,951,492,865.0,
58,268,237,250,564,952,955,526,826.0,
59,257,220,256,566,1020,942,485,859.0,
60,219,237,265,555,982,851,523,852.0,
61,235,222,242,567,979,942,515,869.0,
62,266,223,256,601,1015,923,530,835.0,
63,248,239,271,537,501,799,544,888.0,
64,258,219,263,582,933,898,535,854.0,
65,237,231,263,583,759,957,539,846.0,
66,255,255,232,578,967,834,527,856.0,
67,264,236,264,586,335,967,505,834.0,
68,230,249,245,575,1006,936,550,866.0,
69,239,244,263,620,767,947,547,860.0,
70,240,230,266,589,911,909,534,883.0,
71,258,208,236,587,734,546,514,867.0,
72,257,222,243,567,762,983,520,822.0,
73,244,246,267,587,1016,908,514,849.0,
74,254,253,263,612,967,851,545,839.0,
75,263,262,261,576,916,469,495,836.0,
76,238,236,253,568,897,942,509,846.0,
77,225,233,248,607,711,877,501,845.0,
78,252,263,259,611,944,909,518,867.0,
79,260,217,286,603,965,956,533,847.0,
80,226,249,243,540,535,852,518,841.0,
81,257,242,240,551,823,729,520,835.0,
82,250,222,261,533,658,912,529,813.0,
83,249,209,244,590,1003,960,547,832.0,
84,256,232,267,566,950,927,545,857.0,
85,256,249,255,534,990,486,556,830.0,
86,240,211,245,550,521,940,524,851.0,
87,237,236,246,567,956,833,552,850.0,
88,245,236,250,591,943,812,550,883.0,
89,233,231,258,590,879,345,524,844.0,
90,242,223,267,547,742,902,520,864.0,
91,243,220,265,565,524,624,526,866.0,
92,240,223,274,578,907,946,541,851.0,
93,231,206,291,543,1007,901,543,874.0,
94,244,244,264,601,913,898,516,835.0,
95,256,229,231,528,695,892,525,853.0,
96,247,236,257,574,925,900,540,809.0,
97,247,239,253,591,975,942,528,843.0,
98,246,233,246,581,801,978,533,836.0,
99,206,213,258,538,389,892,513,806.0,
