,Network,Network2,Network3,Basic Linear,Basic Exp,Basic Log,Basic Qua,G&R,True Answer
0,842,830,823,1022,994,967,1087,1037.0,21.0
1,820,846,827,1000,938,922,1091,1075.0,
2,821,854,900,1048,943,906,1049,1086.0,
3,862,827,873,1003,1082,911,1079,1078.0,
4,837,816,851,1011,896,985,1099,1068.0,
5,829,831,849,1014,975,895,1047,1049.0,
6,843,808,883,1030,823,939,1083,1103.0,
7,849,806,866,985,903,949,1049,1043.0,
8,845,840,841,1002,970,920,1038,1093.0,
9,792,841,838,975,983,925,1089,1086.0,
10,852,848,864,939,1020,880,1048,1005.0,
11,790,876,844,1002,985,865,1093,1081.0,
12,839,847,860,1014,972,917,1059,1084.0,
13,846,823,815,1033,956,906,1036,1037.0,
14,873,838,859,1025,1089,863,1101,1063.0,
15,814,807,861,1005,973,986,1065,1087.0,
16,846,824,825,1006,1065,924,1037,1053.0,
17,850,815,840,1037,865,844,1103,1106.0,
18,844,854,837,991,1097,845,1078,1077.0,
19,825,840,842,1003,815,868,1032,1093.0,
20,876,809,892,1010,1015,985,1091,1101.0,
21,807,871,883,984,970,911,1089,1018.0,
22,808,826,808,1041,875,965,1066,1035.0,
23,866,831,860,1034,968,963,1063,1092.0,
24,816,856,815,986,797,831,1048,1037.0,
25,856,796,880,1003,941,848,1060,1130.0,
26,828,806,854,1017,997,852,1082,1101.0,
27,848,844,848,1021,939,862,1003,1035.0,
28,843,836,854,974,999,880,1104,1094.0,
29,841,839,848,1031,878,904,1072,1062.0,
30,850,822,845,1015,964,952,1078,1115.0,
31,838,866,867,1042,916,944,1072,1074.0,
32,828,834,876,1018,989,861,1048,1011.0,
33,801,830,862,961,967,903,1019,1097.0,
34,860,817,858,1024,937,836,1065,1060.0,
35,841,834,895,1030,886,855,1125,1096.0,
36,852,802,861,1037,1022,899,1009,1054.0,
37,816,840,854,1001,947,948,1053,1111.0,
38,860,819,872,1022,849,825,1058,1056.0,
39,867,821,842,1018,1046,944,1081,1058.0,
40,793,808,834,999,1033,874,1077,1060.0,
41,827,821,830,1005,1013,917,1088,1064.0,
42,867,802,872,992,847,895,1078,1049.0,
43,803,776,843,1005,957,887,1092,1023.0,
44,833,824,890,1028,1116,889,1060,1103.0,
45,783,805,847,1023,938,941,1094,1046.0,
46,791,848,872,975,1053,907,1062,1074.0,
47,817,857,870,1026,961,941,1045,1030.0,
48,812,833,857,1027,966,880,1072,1076.0,
49,843,801,885,1035,1014,975,1058,1066.0,
50,823,811,895,989,972,893,1088,1066.0,
51,796,856,856,1044,1002,808,1066,1065.0,
52,862,832,836,1005,1000,875,1101,1045.0,
53,805,878,842,1012,877,926,1066,1088.0,
54,846,822,841,992,847,967,1092,1042.0,
55,865,839,851,1045,1076,853,1110,1077.0,
56,808,849,860,986,974,956,1091,1056.0,
57,802,813,848,1029,841,944,1044,1076.0,
58,853,866,837,1012,930,942,1075,1070.0,
59,836,842,876,1039,917,937,1095,1043.0,
60,832,834,824,1022,896,882,1105,1094.0,
61,833,808,835,1015,886,829,1083,1074.0,
62,841,843,832,999,967,856,1091,1045.0,
63,834,819,866,1011,997,908,1040,1072.0,
64,831,832,856,979,949,973,1040,1052.0,
65,838,853,884,1029,1040,938,1116,1072.0,
66,826,821,883,1019,938,947,1077,1032.0,
67,839,801,888,1027,1068,907,1056,1072.0,
68,848,824,841,1011,881,907,1038,1039.0,
69,869,795,849,995,916,928,1063,1029.0,
70,838,846,857,957,946,881,1085,1046.0,
71,821,804,865,1012,1001,885,1082,1076.0,
72,841,835,847,1040,990,883,1077,1071.0,
73,840,821,844,1053,994,927,1055,1085.0,
74,841,827,848,1036,936,877,1084,1069.0,
75,865,843,859,1019,947,959,1070,1079.0,
76,819,813,848,1021,1061,948,1049,1043.0,
77,879,799,870,1029,990,909,1055,1096.0,
78,825,831,854,1048,901,978,1070,1067.0,
79,850,792,882,1019,976,855,1024,1069.0,
80,828,872,827,993,1058,829,1110,1045.0,
81,854,829,820,996,907,887,1124,1040.0,
82,886,876,869,1018,1072,868,1097,1069.0,
83,835,851,818,992,966,877,1073,1045.0,
84,855,836,812,1007,1099,918,1052,1061.0,
85,839,824,832,1009,837,903,1061,1096.0,
86,839,859,845,1031,953,908,1084,1080.0,
87,806,812,860,1003,993,934,1107,1052.0,
88,818,817,840,1057,940,833,1089,1089.0,
89,805,816,833,1012,885,900,1059,1075.0,
90,857,834,878,1026,865,963,1080,1070.0,
91,836,822,813,1017,1026,866,1107,1091.0,
92,829,811,856,1037,1007,902,1071,1072.0,
93,799,822,812,1009,953,942,1030,1034.0,
94,834,809,852,988,916,929,1054,1079.0,
95,848,840,847,1037,993,855,1045,1054.0,
96,851,846,875,991,1008,839,1053,1054.0,
97,856,842,879,1049,959,930,1082,1053.0,
98,852,814,879,997,915,948,1045,1111.0,
99,836,823,823,1023,944,891,1070,1034.0,
