Interation,mean obj,max obj,constraint,max cons,lag,loss,lambda
0,1180.2679443359375,1184.142578125,-646.0587768554688,-641.789794921875,-51254.0,0.6327847242355347,9.999999747378752e-05
1,1225.2794189453125,1228.7906494140625,-595.3915405273438,-592.0018310546875,-50089.1796875,0.6394001841545105,9.999999747378752e-05
2,1270.01806640625,1274.155029296875,-545.8242797851562,-543.112060546875,-52143.3984375,0.6277796626091003,9.999999747378752e-05
3,1314.481689453125,1319.2337646484375,-498.6742858886719,-495.9639892578125,-54189.21484375,0.6164165735244751,9.999999747378752e-05
4,1358.7171630859375,1364.07568359375,-452.970458984375,-449.8782958984375,-56228.52734375,0.6052942872047424,9.999999747378752e-05
5,1402.78125,1408.7392578125,-408.01068115234375,-404.5396728515625,-58263.703125,0.5943947434425354,9.999999747378752e-05
6,1446.736572265625,1453.6373291015625,-363.29132080078125,-359.4454345703125,-60297.4453125,0.5836988687515259,9.999999747378752e-05
7,1490.649658203125,1498.701171875,-318.4579772949219,-314.0487060546875,-62332.66796875,0.5731878876686096,9.999999747378752e-05
8,1534.588134765625,1543.784423828125,-273.26910400390625,-268.1116943359375,-64372.34375,0.5628438591957092,9.999999747378752e-05
9,1578.618896484375,1588.956787109375,-227.56640625,-221.6796875,-66419.484375,0.5526496171951294,9.999999747378752e-05
10,1622.806396484375,1634.2864990234375,-181.25062561035156,-174.651611328125,-68476.9609375,0.5425899624824524,9.999999747378752e-05
11,1667.211181640625,1679.83740234375,-134.2588348388672,-126.9298095703125,-70547.5625,0.5326509475708008,9.999999747378752e-05
12,1711.8902587890625,1725.6700439453125,-86.58251953125,-78.49462890625,-72633.859375,0.522820770740509,9.999999747378752e-05
13,1756.8958740234375,1771.840087890625,-38.2375373840332,-29.3917236328125,-74738.25,0.513089120388031,0.05382645130157471
14,1802.2762451171875,1818.39892578125,10.745290756225586,20.3514404296875,-76828.6875,0.5036013126373291,0.3528273403644562
15,1848.0615234375,1865.3900146484375,59.800174713134766,70.1820068359375,-77942.46875,0.49861809611320496,0.8664994835853577
16,1892.7818603515625,1911.51904296875,102.73442077636719,113.9776611328125,-76637.1328125,0.5044633150100708,1.236340880393982
17,1882.2393798828125,1897.9678955078125,73.96830749511719,83.8719482421875,-76019.2734375,0.5072539448738098,1.33957839012146
18,1846.953369140625,1861.443359375,20.64749526977539,29.936279296875,-77550.359375,0.500366747379303,1.1666349172592163
19,1809.9293212890625,1823.12109375,-34.58869934082031,-25.9605712890625,-79213.890625,0.49298977851867676,0.7280617952346802
20,1776.7452392578125,1788.66455078125,-87.71463012695312,-79.7059326171875,-78834.8359375,0.4946610629558563,0.25667136907577515
21,1787.4359130859375,1799.17529296875,-94.68253326416016,-86.5416259765625,-77355.328125,0.5012388229370117,0.10852397978305817
22,1835.657958984375,1848.71923828125,-40.77114486694336,-31.7525634765625,-78627.1015625,0.49557939171791077,0.19122985005378723
23,1884.8846435546875,1899.34326171875,16.541175842285156,26.460205078125,-80550.375,0.4871419072151184,0.5546426177024841
24,1934.3740234375,1950.1966552734375,72.68254852294922,83.5018310546875,-81009.3359375,0.4851497709751129,1.0760902166366577
25,1973.2103271484375,1989.8314208984375,104.2895278930664,115.8072509765625,-79231.4921875,0.49291226267814636,1.327266812324524
26,1943.148193359375,1958.446533203125,50.23533248901367,61.1436767578125,-80092.796875,0.4891362190246582,1.2707844972610474
27,1904.67333984375,1918.4423828125,-11.296483993530273,-1.1680908203125,-82336.2890625,0.4794357120990753,0.9055423736572266
28,1866.9361572265625,1879.14111328125,-73.0484390258789,-63.7119140625,-83155.78125,0.4759405553340912,0.3198208212852478
29,1848.6893310546875,1859.7655029296875,-117.93138122558594,-109.0220947265625,-80879.953125,0.4857105314731598,0.1262216717004776
30,1901.636474609375,1914.2861328125,-60.82979202270508,-50.8096923828125,-81876.6015625,0.4814075529575348,0.14652453362941742
31,1956.6185302734375,1971.00634765625,3.2791430950164795,14.4654541015625,-84044.1953125,0.47218021750450134,0.4839397668838501
