,Network,Network2,Network3,Basic Linear,Basic Exp,Basic Log,Basic Qua,G&R
0,3038.5328613185884,3000.216006590128,2735.833643194437,2314.6881413857486,975.14290793379,1382.7972945965853,3504.457140065852,274.075
1,1284.2154456440783,1726.1317514481802,1144.8645642269155,675.3743378840464,473665.67972768523,1747492.275194834,553.641342535637,120.876875
2,1643.4784296403825,1599.7131475271285,1458.9858394466341,923.6841335315311,326.07988742376256,423.94306991019863,1567.443452025163,1116.0352250933647
3,552.4306206564065,606.3591957311476,472.8675722861459,170.5215117406381,205941.72213670186,265765.66917604813,141.80864207389598,0.0
4,1634.57,1627.98,1570.28,1124.05,561.87,662.9,858.79,548.15
5,372.1051,508.3796,377.3215999999999,395.6075,89109.2731,157333.44999999998,50.3659,483.5075
6,0.0,0.0,0.0,0.54,0.925,0.82,0.96,1.0
7,0.0,0.0,0.0,0.24339999999999992,0.076875,0.1476,0.03339999999999999,0.0
