Interation,mean obj,max obj,constraint,max cons,lag,loss,lambda
0,1357.492431640625,1368.5030517578125,-869.7462158203125,-864.59033203125,-60517.984375,0.5825507044792175,9.999999747378752e-05
1,1414.5899658203125,1426.897216796875,-806.2674560546875,-800.940673828125,-58811.4296875,0.5914950370788574,9.999999747378752e-05
2,1473.0240478515625,1486.68115234375,-740.353515625,-734.8394775390625,-61517.14453125,0.5773767828941345,9.999999747378752e-05
3,1532.7081298828125,1547.976806640625,-673.5534057617188,-667.5552978515625,-64286.83984375,0.5632736682891846,9.999999747378752e-05
4,1593.640625,1611.096923828125,-606.8924560546875,-600.1695556640625,-67120.46875,0.5492014288902283,9.999999747378752e-05
5,1652.29345703125,1669.242919921875,-542.3687133789062,-536.4580078125,-69853.515625,0.535961925983429,9.999999747378752e-05
6,1710.9605712890625,1732.458251953125,-472.0392761230469,-463.738525390625,-72592.3046875,0.5230147838592529,9.999999747378752e-05
7,1770.78076171875,1791.700439453125,-407.6865234375,-399.8194580078125,-75389.9296875,0.5101123452186584,9.999999747378752e-05
8,1831.5284423828125,1857.213134765625,-336.74322509765625,-326.076904296875,-78235.859375,0.49731361865997314,9.999999747378752e-05
9,1893.372314453125,1918.488525390625,-271.8831481933594,-261.248779296875,-81138.015625,0.4845927059650421,9.999999747378752e-05
10,1956.083984375,1986.12158203125,-200.3121795654297,-186.7685546875,-84085.71875,0.4720051884651184,9.999999747378752e-05
11,2019.8333740234375,2049.3056640625,-134.87954711914062,-121.3505859375,-87086.953125,0.4595249593257904,9.999999747378752e-05
12,2084.385986328125,2118.915283203125,-62.67192840576172,-46.152587890625,-90130.6640625,0.4472050964832306,0.02201850526034832
13,2149.912109375,2183.87158203125,3.340571165084839,19.84619140625,-93213.65625,0.43506285548210144,0.3997105360031128
14,2215.52587890625,2255.211181640625,75.53840637207031,95.37451171875,-94796.1171875,0.42895904183387756,0.9920661449432373
15,2260.857177734375,2297.62353515625,118.47113037109375,136.992431640625,-92565.9609375,0.43758612871170044,1.289288878440857
16,2227.145263671875,2262.23974609375,59.44453430175781,77.487060546875,-93003.8359375,0.4358786344528198,1.2162047624588013
17,2175.311767578125,2208.15283203125,-14.616801261901855,2.431396484375,-95264.59375,0.42716851830482483,0.780955970287323
18,2124.988525390625,2155.580810546875,-87.04977416992188,-70.993896484375,-95390.34375,0.42668917775154114,0.29226329922676086
19,2131.7734375,2161.988525390625,-98.9945297241211,-82.618896484375,-93751.6328125,0.432978093624115,0.19716548919677734
20,2197.111572265625,2229.6884765625,-25.120849609375,-7.230224609375,-95639.8046875,0.4257398545742035,0.45269903540611267
21,2263.63330078125,2298.64892578125,51.106712341308594,70.530517578125,-97366.9765625,0.4192247986793518,1.0542901754379272
22,2327.7587890625,2365.321533203125,120.3182373046875,141.41845703125,-95198.03125,0.4274224638938904,1.3125873804092407
23,2280.238037109375,2315.0615234375,51.659446716308594,71.434814453125,-95891.859375,0.42478281259536743,1.185221791267395
24,2222.76220703125,2255.011962890625,-25.47314453125,-7.035888671875,-98065.2109375,0.4166193902492523,0.6840089559555054
25,2168.614990234375,2198.322265625,-100.2425765991211,-83.104736328125,-97420.0546875,0.4190261662006378,0.36984705924987793
26,2208.178466796875,2238.727783203125,-69.26181030273438,-51.262451171875,-97143.734375,0.42006123065948486,0.40302661061286926
27,2275.405029296875,2308.37744140625,5.760517597198486,25.3349609375,-98910.3984375,0.4134872853755951,0.8043069243431091
28,2342.924560546875,2378.29443359375,80.25605773925781,101.40673828125,-98975.6015625,0.41324663162231445,1.1180005073547363
29,2344.80908203125,2379.38134765625,62.73870849609375,83.821533203125,-98771.609375,0.414000004529953,1.0533390045166016
30,2291.56298828125,2323.466796875,-12.93228530883789,6.778076171875,-100432.4296875,0.407906174659729,0.62818443775177
31,2242.546875,2271.8408203125,-85.50890350341797,-67.107666015625,-100115.9609375,0.40906038880348206,0.4890116751194
32,2294.937744140625,2325.674560546875,-38.2604866027832,-18.676513671875,-100850.421875,0.40638670325279236,0.6520398855209351
33,2361.780517578125,2394.44482421875,32.60564422607422,53.580810546875,-101996.796875,0.4022483229637146,1.0243586301803589
34,2410.80078125,2444.567138671875,74.46373748779297,96.455810546875,-101548.9453125,0.4038599729537964,1.0263077020645142
35,2362.2470703125,2393.229736328125,0.38981443643569946,20.992919921875,-103036.1328125,0.39853280782699585,0.6642813086509705
36,2313.218505859375,2341.34130859375,-74.80770111083984,-55.639892578125,-103223.8515625,0.3978654146194458,0.5303648114204407
37,2357.760986328125,2386.77587890625,-40.49974060058594,-20.408447265625,-103935.78125,0.3953443765640259,0.6719496846199036
38,2424.91943359375,2456.16259765625,28.316972732543945,50.013427734375,-105068.171875,0.3913673162460327,0.9742664694786072
39,2468.7197265625,2500.778076171875,60.46335983276367,83.062255859375,-105129.6953125,0.39115241169929504,0.9067645072937012
40,2423.703125,2452.83203125,-13.500385284423828,7.671142578125,-106546.8671875,0.38623422384262085,0.5839287042617798
41,2389.408935546875,2415.89208984375,-77.36017608642578,-57.394287109375,-106596.75,0.38606223464012146,0.5430294871330261
42,2452.67578125,2481.080810546875,-17.54646873474121,3.927490234375,-107810.0390625,0.38190263509750366,0.8032812476158142
43,2522.22412109375,2552.948974609375,52.05035400390625,75.239013671875,-108514.203125,0.3795090615749359,0.8976971507072449
44,2517.095947265625,2546.213134765625,18.8831787109375,41.589599609375,-109499.671875,0.37618449330329895,0.6769238114356995
45,2483.167236328125,2509.47412109375,-47.01227569580078,-25.579833984375,-110331.609375,0.3734005093574524,0.6246004700660706
46,2526.32470703125,2553.3017578125,-19.58740234375,2.734375,-111401.53125,0.3698504865169525,0.7757956385612488
47,2585.431396484375,2613.98388671875,30.239032745361328,53.957763671875,-112393.5703125,0.3665889799594879,0.8095319867134094
48,2590.300048828125,2617.54345703125,6.636474609375,30.099853515625,-113511.78125,0.36294713616371155,0.6905586123466492
49,2581.93408203125,2607.225830078125,-33.20198059082031,-10.393798828125,-114545.4921875,0.35961276292800903,0.6750379800796509
50,2623.49609375,2649.28759765625,-10.635839462280273,13.015380859375,-115727.2265625,0.3558383285999298,0.777669370174408
51,2671.74658203125,2698.3935546875,20.457109451293945,45.168701171875,-116835.15625,0.352335661649704,0.7714192271232605
52,2677.6474609375,2702.89794921875,-4.049887657165527,20.390625,-118057.3828125,0.34851160645484924,0.7127125263214111
53,2687.6171875,2711.63427734375,-23.95845603942871,0.320556640625,-119244.984375,0.34483563899993896,0.7098489999771118
54,2725.924072265625,2750.16943359375,-8.336161613464355,16.678466796875,-120501.96875,0.3409871757030487,0.7676483988761902
55,2767.012451171875,2791.61767578125,10.319262504577637,36.160888671875,-121736.390625,0.3372495770454407,0.7768945097923279
56,2782.9423828125,2806.894775390625,-3.6646580696105957,22.175537109375,-123025.1953125,0.3333910405635834,0.740080714225769
57,2796.90283203125,2821.53076171875,-20.289941787719727,5.472412109375,-124310.96875,0.32958558201789856,0.7330880761146545
58,2831.9345703125,2857.4580078125,-11.067670822143555,15.306884765625,-125629.6484375,0.32572779059410095,0.7746568918228149
59,2872.849853515625,2899.338623046875,5.149281978607178,32.333984375,-126947.0546875,0.3219188153743744,0.7945045232772827
60,2895.501708984375,2922.8134765625,-1.902075171470642,25.461669921875,-128288.2421875,0.3180868923664093,0.7694202065467834
61,2911.48876953125,2939.580078125,-17.05526351928711,10.247314453125,-129638.84375,0.3142741322517395,0.7651395797729492
62,2945.344970703125,2974.40478515625,-10.833813667297363,17.011962890625,-131005.2890625,0.31046316027641296,0.8007863163948059
63,2985.271240234375,3015.37353515625,2.466689348220825,31.063720703125,-132369.640625,0.3067041039466858,0.8187392950057983
64,3009.461181640625,3040.48779296875,-3.431830883026123,25.34765625,-133748.53125,0.30295124650001526,0.8034902811050415
65,3028.73046875,3060.658447265625,-14.9782075881958,13.79248046875,-135132.28125,0.2992313504219055,0.8072624206542969
66,3063.00927734375,3095.998046875,-9.091693878173828,20.193115234375,-136522.59375,0.2955397963523865,0.8386550545692444
